source;protocol;destination
ACTES;Web Service;ALV
ACTES;Web Service;CODICT;
ACTES;Web Service;EPADES2
ACTES;Web Service;SDA;
ACTES;Email;SIMPLE
ACTES;Web Service;DG_SAFE
ACTES;Web Service;ALV;
ACTES;Web Service;CODICT;
ACTES;Web Service;EPADES2;
ACTES;TRANSFERT DE FICHIER;EPAPUBLIC;
ACTES;Web Service;FILEBEANS
ACTES;Web Service;SCHED
ACTES;Email;SIMPLE
ALV;Web Service;ACTES;
ALV;Email;other_DG
ALV;Web Service;ACTES
ALV;TRANSFERT DE FICHIER;CIBA
ALV;Web Service;ELVIIS;
ALV;Email;other_DG
APIE2;VUE;CODICT;
APIE2;LIEN AVEC D'AUTRES SERVICES;EWCMS;
APIE2;APPEL DE FONCTION;MAU
APIE2;VUE;PERICLES core;
APIE2;Web Service;REGISTRE;
APIE2;Web Service;other_DG
APIE2;CONNEXION JDBC;other_DG
APIE2;Web Service;ITER;
APIE2;TRANSFERT DE FICHIER;REDMAP;
APIE2;TRANSFERT DE FICHIER;REGISTRE
APIE2;Web Service;SCHED
APIE2;LIEN AVEC D'AUTRES SERVICES;other_DG
APIE2;Web Service;other_DG
AT4AM;Web Service;DisP Digital Signature Portal;
AT4AM;Web Service;EPADES2
AT4AM;DBLINK;EPARLIAMENT-BO
AT4AM;Web Service;Drafting Support Tool
AT4AM;Web Service;FILEBEANS
AT4AM;Web Service;ITER
CARTON;Web Service;CODICT
CARTON;Email;LDO
CARTON;Email;META
CARTON;Email;SIMPLE
CARTON;Email;LDO
CODICT;Web Service;ACTES;
CODICT;Web Service;other_DG
CODICT;Web Service;other_DG
CODICT;Web Service;other_DG
CODICT;DBLINK;DG_EPRS
CODICT;DBLINK;CODADD-BO
CODICT;DBLINK;CODICT-BO
CODICT;Web Service;CRE Publication
CODICT;Web Service;CoMove;
CODICT;Web Service;DECL2;
CODICT;Web Service;DOCEO;
CODICT;DBLINK;other_DG
CODICT;DBLINK;EPARLIAMENT-BO
CODICT;DBLINK;EPDIR
CODICT;CONNEXION JDBC;other_DG
CODICT;CONNEXION JDBC;EWCMS;
CODICT;Web Service;other_DG
CODICT;APPEL DE FONCTION;DG_SAFE
CODICT;Web Service;FLUID
CODICT;Web Service;other_DG
CODICT;CONNEXION JDBC;FTU;
CODICT;DBLINK;GEDA-BO
CODICT;APPEL DE FONCTION;other_DG
CODICT;DBLINK;other_DG
CODICT;DBLINK;INDE;
CODICT;DBLINK;IPMS-BO
CODICT;REPLICATION-IMPORT/EXPORT;ITER;
CODICT;Web Service;KM Portal;
CODICT;VUE;LDO
CODICT;Univers;MEP-BO;
CODICT;DBLINK;MEPDG2-BO
CODICT;DBLINK;META
CODICT;APPEL DE FONCTION;New PREQUEST;
CODICT;APPEL DE FONCTION;New Prequest;
CODICT;CONNEXION JDBC;OPEX;
