name;version;manager;technology;status
T-FLOW;4.X;fspyckerelle phcambier DG ITEC/EVOLUTION tconrad slambeaux ;Oracle/Java/XML;PROD
HEPA;3.1.0;hvuillaume DG ITEC cadrian DG ITEC/EVOLUTION gbalenovic fmoncel jcolin malambert cinvernizzi clemonias rmussard ;Macros WORD;PROD
ITER;3.49.0 (24/04/2020);mbalsby DG PRES DG IPOL DG EXPO DG TRAD DG ITEC/EVOLUTION cmontanari ;J2EE, Hibernate, Spring, ExtJS, ORACLE;PROD
ITERAPI;3.49.0 (24/04/2020);cmontanari ;JAVA;PROD
ITER Reporting module;2.8.0 (24/04/2020);DG IPOL DG ITEC cmontanari ;Java 2 (SE/EE),  XML;PROD
Iter Tms;3.49.0 (24/04/2020);cmontanari ;JAVA;PROD
KM Portal;2.5.12;fgallone lliudvinaviciute ;J2EE, Hibernate, Spring, ORACLE;PROD
LDO (Liste Des Orateurs);3.2.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure bdemarest jbponcin mfstoffel hgiraud pgriesbaecher ;Oracle/Java/XML;PROD
eParl-OSS;1.1;rvillar oleboeuf DG ITEC scharpiot vthumatty tcozzi gpagkos jmilitello knoviseth ;JAVA;PROD
PETIGREF;;preunis ;J2EE, Hibernate, Spring, ORACLE;PROD
Petitions Portal;1.5.1 (24 FEBRUARY 2017);preunis ;HTML/Java;PROD
PROBO;V6.2.0 (15 JUNE 2018);mkraitem preunis jpbouniol hpereira xdescamps ;Java 2 (SE/EE),  XML;PROD
PURE-XML;4.1.0;rvillar oleboeuf DG ITEC scharpiot vthumatty tcozzi gpagkos jmilitello knoviseth ;Oracle/Java/XML;PROD
PV;2.20.0;ofabbri phcambier DG ITEC/EVOLUTION ypilla mlahure tweber bdemarest mfstoffel hgiraud pgriesbaecher ;Tamino/Java 2 (SE/EE),  XML;PROD
QPPLUS;1.2;ogrossmannn smahgub mascorbe ;J2EE, Hibernate, Spring, ExtJS, ORACLE;PROD
RDM;;mloreng hvuillaume cadrian DG ITEC/EVOLUTION fmoncel jcolin malambert cinvernizzi rmussard ;Oracle/Java/XML;PROD
REDMAP;2.15.0;mrossi fgallone DG ITEC lliudvinaviciute ;J2EE, Hibernate, Spring, ORACLE;PROD
REGISTRE;(CF MODULES DANS LA DESC);DG ITEC cbouzas llamorte ;HTML/Java;PROD
